2009,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males Total,Prep Females Total,Prep Total,Year 1 Males Total,Year 1 Females Total,Year 1 Total,Year 2 Males Total,Year 2 Females Total,Year 2 Total,Year 3 Males Total,Year 3 Females Total,Year 3 Total,Year 4 Males Total,Year 4 Females Total,Year 4 Total,Year 5 Males Total,Year 5 Females Total,Year 5 Total,Year 6 Males Total,Year 6 Females Total,Year 6 Total,Primary Ungraded Males Total,Primary Ungraded Females Total,Primary Ungraded Total,Primary Total,Year 7 Males Total,Year 7 Females Total,Year 7 Total,Year 8 Males Total,Year 8 Females Total,Year 8 Total,Year 9 Males Total,Year 9 Females Total,Year 9 Total,Year 10 Males Total,Year 10 Females Total,Year 10 Total,Year 11 Males Total,Year 11 Females Total,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Secondary Ungraded Males Total,Secondary Ungraded Females Total,Secondary Ungraded Total,Secondary Total,Grand Total
Government,1,1960,Bungaree Primary School,Primary,O,3,2,5,2,2,4,0,1,1,0,1,1,5,5,10,2,1,3,0,3,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Government,1,1961,Little River Primary School,Primary,O,8,6,14,8,8,16,5,5,10,9,10,19,11,9,20,7,6,13,6,3,9,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
Government,1,1967,Cowwarr Primary School,Primary,O,2,1,3,2,3,5,0,1,1,1,4,5,1,3,4,3,2,5,7,4,11,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
Government,1,1975,Morang South Primary School,Primary,O,33,42,75,31.4,26,57.4,30.2,28.4,58.6,48,40,88,34,37,71,36,42,78,43,36,79,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507
Government,1,1976,Camp Hill Primary School,Primary,O,32,18,50,28,27,55,34,20,54,28,28,56,35,34,69,24,18,42,24,19,43,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369
Government,1,1992,Croydon North Primary School,Primary,C,3,1,4,3,3,6,8,4,12,4,2,6,5,4,9,5,6,11,3,7,10,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
Government,1,2005,Pyalong Primary School,Primary,O,1,7,8,5,2,7,6,5,11,6,9,15,9,3,12,6,12,18,6,6,12,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
Government,1,2015,Winchelsea Primary School,Primary,O,9,14,23,12,7,19,12,9,21,9,6,15,11,7,18,16,8,24,12,9,21,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
Government,1,2017,Buln Buln Primary School,Primary,O,11,14,25,8,11,19,8,7,15,5,10,15,10,5,15,6,6.6,12.6,11,9,20,0,0,0,121.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.6
Government,1,2022,Macarthur Street Primary School,Primary,O,11,3,14,3,9,12,10,8,18,7,5,12,6,6,12,5,3,8,5,6,11,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
