Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males,Prep Females,Prep Total,Year 1 Males,Year 1 Females,Year 1 Total,Year 2 Males,Year 2 Females,Year 2 Total,Year 3 Males,Year 3 Females,Year 3 Total,Year 4 Males,Year 4 Females,Year 4 Total,Year 5 Males,Year 5 Females,Year 5 Total,Year 6 Males,Year 6 Females,Year 6 Total,Primary Ungraded Males,Primary Ungraded Females,Primary Ungraded Total,Primary Total,Year 7 Males,Year 7 Females,Year 7 Total,Year 8 Males,Year 8 Females,Year 8 Total,Year 9 Males,Year 9 Females,Year 9 Total,Year 10 Males,Year 10 Females,Year 10 Total,Year 11 Males,Year 11 Females,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Postprimary Ungraded Males,Postprimary Ungraded Females,Postprimary Ungraded Total,Secondary Total,Grand Total
Government,1,4582,Wantirna South Primary School,Primary,O,12,9,21,11,7,18,12,15,27,14,13,27,7,25,32,19,14,33,14,14,28,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
Government,1,4612,Strathmore Primary School,Primary,O,34,30,64,40,33,73,38,33,71,48,26,74,54,35,89,40,38,78,37,39,76,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525
Government,1,4638,Balwyn North Primary School,Primary,O,21,19,40,22,15,37,25,17,42,22,20,42,31,32,63,34,27,61,54,39,93,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378
Government,1,4641,Solway Primary School,Primary,O,43,31,74,26,25,51,31,29,60,31.4,29,60.4,20,23,43,21,24,45,13,14,27,0,0,0,360.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.4
Government,1,4642,Wangaratta West Primary School,Primary,O,28,18,46,30,15,45,17,14,31,15,17,32,14,18,32,14,24,38,23,18,41,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
Government,1,4644,Mount Beauty Primary School,Primary,O,14,7,21,15,10,25,5,13,18,13,12,25,8,11,19,11,10,21,7,14,21,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
Government,1,4646,Newlands Primary School,Primary,O,14,7,21,10,12,22,13,9,22,11,1,12,6,3,9,6,0,6,6,7,13,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
Government,1,4650,Newborough Primary School,Primary,O,12,11,23,10,11,21,9,10,19,13,17,30,11,14,25,10,7,17,6,10,16,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
Government,1,4652,Traralgon (Stockdale Road) Primary School,Primary,O,41,37,78,29,35,64,37,20,57,29,36,65,23.6,32,55.6,33,23,56,31,35,66,0,0,0,441.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.6
Government,1,4657,Gowrie Street Primary School Shepparton,Primary,O,13,17,30,24,16,40,15,18,33,19,15,34,11,15,26,19,18,37,32,14,46,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246
Government,1,4661,Tootgarook Primary School,Primary,O,22,22,44,16,12,28,11,16,27,10,12,22,11,10,21,18,14,32,20,18,38,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
Government,1,4662,Moe (South Street) Primary School,Primary,O,24,20,44,15,23,38,10,18,28,17,14,31,16,17,33,26,20,46,8,9,17,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237
Government,1,4663,Roslyn Primary School,Primary,O,14,6,20,15,6,21,7,3,10,11,8,19,11.2,9,20.2,15,9,24,12,9,21,0,0,0,135.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.2
Government,1,4665,Newport Gardens Primary School,Primary,O,27,23,50,16,14,30,19,17,36,15,15,30,10,8,18,27,17,44,17,15,32,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
Government,1,4666,St Georges Road Primary School Shepparton,Primary,O,29,22,51,30,33,63,30,16,46,15,18,33,21,17,38,26,28,54,33,25,58,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343
Government,1,4669,Malvern Valley Primary School,Primary,O,15,17,32,16,13,29,10,13,23,17,8,25,13,12,25,4,12,16,7,13,20,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
Government,1,4670,Newborough East Primary School,Primary,O,24,20,44,16,16,32,23,25,48,30,34,64,30,23,53,21,32,53,30,26,56,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350
Government,1,4675,Belmore School,Special,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,8.8,21.6,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6,12,29.6,29.6,51.2
Government,1,4679,Croxton Special School,Special,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,21,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.4,28,90.4,90.4,155.4
Government,1,4680,Tobruk Street Primary School - Morwell,Primary,O,9,9,18,4,9,13,4,7,11,7,11,18,7,5,12,5,1,6,5,5,10,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Government,1,4681,Herne Hill Primary School,Primary,O,10,14,24,20,14,34,20,16,36,15,25,40,15,15,30,18,15,33,20,12,32,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229
Government,1,4682,Frankston East Primary School,Primary,O,15,16,31,19,12,31,15,16,31,16,10,26,11,10,21,12,9,21,14,15,29,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
Government,1,4685,Selby Primary School,Primary,O,22,9,31,20,10,30,13,20,33,13,12,25,18,18,36,16,15,31,16,13,29,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215
Government,1,4686,Reservoir East Primary School,Primary,O,15,7,22,8,7,15,10,7,17,9,9,18,9,6,15,13,7,20,10,9,19,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
Government,1,4687,Tucker Road Bentleigh Primary School,Primary,O,40,38,78,25,28,53,44,31,75,35,42,77,57,30,87,42,44,86,45,27,72,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528
Government,1,4689,Katunga Primary School,Primary,O,11,12,23,8,8,16,6,5,11,9,5,14,9,8,17,8,3,11,8,5,13,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
Government,1,4690,Ballarat North Primary School,Primary,O,41,27,68,28,25,53,38,32,70,22,26,48,26,20,46,28,35,63,33,20,53,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401
Government,1,4691,Bandiana Primary School,Primary,O,11,15,26,15,8,23,7,8,15,9,8,17,13,6,19,9,8,17,13,3,16,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
Government,1,4692,Morwell Primary School,Primary,O,15,10,25,8,11,19,15,8,23,14,6,20,13,10,23,15,8,23,15,7,22,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
Government,1,4694,Greythorn Primary School,Primary,O,54,37,91,35,27,62,48,34,82,35,32,67,56,48,104,39,29,68,46,33,79,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553
Government,1,4695,Warragul North Primary School,Primary,O,44,27,71,41,44,85,33.4,36,69.4,29,36,65,31,43,74,33,37,70,37,35,72,0,0,0,506.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506.4
Government,1,4697,Horsham West - Haven Primary School,Primary,O,41,61,102,50,45,95,51,38,89,55,43,98,42,33,75,49,46,95,33,56,89,0,0,0,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643
Government,1,4699,Traralgon (Kosciuszko Street) Primary School,Primary,O,22,18,40,15,18,33,18,19,37,20,14,34,24,16,40,18,21,39,14,15,29,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252
Government,1,4700,Traralgon (Liddiard Road) Primary School,Primary,O,27.4,21,48.4,20,18,38,19,17,36,23,19,42,28,19,47,24,29,53,31,31,62,0,0,0,326.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.4
Government,1,4702,Eastwood Primary School,Primary,O,26,29.2,55.2,19,21,40,26,8,34,25,20,45,23,15,38,23,20,43,15,20,35,0,0,0,290.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.2
Government,1,4704,Pascoe Vale South Primary School,Primary,O,31,27,58,33,31,64,26,23,49,15,25,40,16,18,34,17,16,33,18,25,43,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321
Government,1,4705,Yellingbo Primary School,Primary,O,4,1,5,5,1,6,5,1,6,1,2,3,2,1,3,5,2,7,3,2,5,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Government,1,4709,Lalor Primary School,Primary,O,20,19,39,15,24,39,25,26,51,29,14,43,24,20,44,33,19.4,52.4,16,28,44,0,0,0,312.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.4
Government,1,4711,Reservoir West Primary School,Primary,O,42,34,76,38,31,69,38,23,61,21,16,37,12,16,28,16,13,29,17,9,26,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326
Government,1,4712,Coatesville Primary School,Primary,O,70,53,123,57,47,104,52,48,100,51,40,91,41,30,71,32,28,60,23,24,47,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596
Government,1,4715,Old Orchard Primary School,Primary,O,51,30,81,42,39,81,40,47.4,87.4,38,38,76,34,32,66,38,34,72,40,33,73,0,0,0,536.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536.4
Government,1,4716,Huntingdale Primary School,Primary,O,27.4,20,47.4,22,23,45,20,19,39,13,23,36,16,23,39,8,15,23,16,18,34,0,0,0,263.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.4
Government,1,4717,Box Hill North Primary School,Primary,O,29,11,40,19,24,43,11,26,37,25,19,44,15,27,42,15,13,28,19,17,36,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270
Government,1,4718,Ferntree Gully North Primary School,Primary,O,37,22,59,32,17,49,21,16,37,22,15,37,20,24,44,21,18,39,20,22,42,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307
Government,1,4720,Ararat West Primary School,Primary,O,18,18,36,18,16,34,19,13,32,19,23,42,17,21,38,13,17,30,19,23,42,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254
Government,1,4721,Oak Park Primary School,Primary,O,40,31,71,27,36,63,23,32,55,23,27.2,50.2,31,21,52,23.2,22,45.2,35,15,50,0,0,0,386.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.4
Government,1,4723,Dandenong North Primary School,Primary,O,47,39,86,50,38,88,22,38,60,29,45,74,31,39,70,52,45,97,43,42,85,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560
Government,1,4725,Bairnsdale West Primary School,Primary,O,21,16,37,7,15,22,5,13,18,14,17,31,10,15,25,16,13,29,28,21,49,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
Government,1,4728,Kalianna Special School,Special,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,23.4,72.4,72.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.5,30,101.5,101.5,173.9
Government,1,4730,Harrisfield Primary School,Primary,O,21,20,41,21,19,40,13,25,38,17,19,36,16,14,30,11,12,23,9,16,25,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233
Government,1,4731,Pascoe Vale North Primary School,Primary,O,43,46,89,24,29,53,26,25,51,30,27,57,12.4,25,37.4,28,25,53,23,19,42,0,0,0,382.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.4
Government,1,4733,Belle Vue Primary School,Primary,O,21,15,36,16,4,20,14,14,28,20,13,33,19,12,31,14,9,23,18,11,29,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
Government,1,4735,Oberon Primary School,Primary,O,10,6,16,4,7,11,6,12,18,3,11,14,5,3,8,9,6,15,5,4,9,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
