Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males Total,Prep Females Total,Prep Total,Year 1 Males Total,Year 1 Females Total,Year 1 Total,Year 2 Males Total,Year 2 Females Total,Year 2 Total,Year 3 Males Total,Year 3 Females Total,Year 3 Total,Year 4 Males Total,Year 4 Females Total,Year 4 Total,Year 5 Males Total,Year 5 Females Total,Year 5 Total,Year 6 Males Total,Year 6 Females Total,Year 6 Total,Primary Ungraded Males Total,Primary Ungraded Females Total,Primary Ungraded Total,Primary Total,Year 7 Males Total,Year 7 Females Total,Year 7 Total,Year 8 Males Total,Year 8 Females Total,Year 8 Total,Year 9 Males Total,Year 9 Females Total,Year 9 Total,Year 10 Males Total,Year 10 Females Total,Year 10 Total,Year 11 Males Total,Year 11 Females Total,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Secondary Ungraded Males Total,Secondary Ungraded Females Total,Secondary Ungraded Total,Secondary Total,Grand Total
Government,1,4990,Knox Park Primary School,Primary,O,22,12,34,12,10,22,15,20,35,14,14,28,25,17,42,21,15.2,36.2,18,19,37,0,0,0,234.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.2
Government,1,4991,Birralee Primary School,Primary,O,13,9,22,13,6,19,13,7,20,12,11,23,15,14,29,9,12,21,15,8,23,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
Government,1,4993,Upfield Primary School,Primary,C,11,8,19,7,10,17,10,9,19,10,6,16,11,13,24,8,14,22,15.4,13,28.4,0,0,0,145.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.4
Government,1,4994,Echuca South Primary School,Primary,O,22,22,44,26,22,48,19,21.4,40.4,16.4,19,35.4,14,19,33,27,23,50,18,10,28,0,0,0,278.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.8
Government,1,4995,Ararat North Primary School,Primary,O,9,5,14,3,5,8,10,5,15,8,2,10,7,11,18,7,7,14,12,10,22,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
Government,1,4996,Derinya Primary School,Primary,O,39,36,75,39,36,75,41,51,92,61,41,102,32,37,69,33,39,72,51,44,95,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580
Government,1,4999,Thomastown West Primary School,Primary,O,16,24,40,35,28,63,23,14,37,24,30,54,30,35,65,31,26,57,35,39,74,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390
Government,1,5000,Rowville Primary School,Primary,O,43,38,81,30,33,63,44,33.4,77.4,44,35,79,45,43,88,42,53,95,63,43,106,0,0,0,589.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589.4
Government,1,5002,Mossfiel Primary School,Primary,O,33,24.4,57.4,36,28,64,22,28,50,30,36,66,26,37,63,42.2,27,69.2,36,28,64,0,0,0,433.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.6
Government,1,5003,Lalor Park Primary School,Primary,C,11,12,23,11,10,21,17,11,28,12,13,25,16,11,27,16,10,26,10,9,19,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169
