"Post School Destinations of Year 12 or equivalent completers in 2018, Victorian schools",,,,,,,,,,,,,
Source: On Track Year 12 completer survey 2019 (Department of Education and Training),,,,,,,,,,,,,
,,,,,,,,,,,,,
VCAA CODE,SCHOOL NAME,SECTOR,LOCALITY,TOTAL COMPLETED YEAR 12,ON TRACK CONSENTERS,ON TRACK SURVEY DATA 2019 **,,,,,,,
,,,,,,ON TRACK RESPONDENTS*,IN EDUCATION AND TRAINING - MAY 2019,,,,NOT IN EDUCATION AND TRAINING - MAY 2019,,
,,,,,,,BACHELOR ENROLLED,DEFERRED,TAFE / VET ENROLLED,APPRENTICE / TRAINEE,EMPLOYED,LOOKING FOR WORK,Other^
,,,,(NUMBER),(NUMBER),(NUMBER),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT)
01196,COLLINGWOOD COLLEGE,G,COLLINGWOOD,61,38,29,28,28,24,7,14,0,0
01559,COPPERFIELD COLLEGE,G,DELAHEY,319,240,166,42,4,22,10,10,11,1
15114,CORNISH COLLEGE,I,KEYSBOROUGH,52,34,21,67,24,5,0,5,0,0
01195,CORRYONG COLLEGE,G,TOWONG,19,19,12,25,25,0,33,17,0,0
01911,COVENANT COLLEGE,I,NORTH GEELONG - BELL PARK,28,18,14,57,21,14,7,0,0,0
01739,CRAIGIEBURN SECONDARY COLLEGE,G,CRAIGIEBURN - MICKLEHAM,105,105,75,27,4,20,12,24,12,1
15044,CRANBOURNE EAST SECONDARY COLLEGE,G,CRANBOURNE EAST,128,76,53,26,8,17,15,25,9,0
01375,DAMASCUS COLLEGE,C,BALLARAT - SOUTH,130,122,75,40,21,8,11,17,3,0
01301,DANDENONG HIGH SCHOOL,G,DANDENONG,275,195,153,34,7,31,6,13,7,1
01145,DAYLESFORD SECONDARY COLLEGE,G,DAYLESFORD,45,45,29,17,31,10,21,14,7,0
01050,DE LA SALLE COLLEGE,C,MALVERN - GLEN IRIS,177,127,75,64,13,4,13,4,1,0
01628,DIAMOND VALLEY COLLEGE,G,WATTLE GLEN - DIAMOND CREEK,86,83,59,34,2,22,10,25,7,0
01465,DIMBOOLA MEMORIAL SECONDARY COLLEGE,G,NHILL REGION,17,12,10,50,0,10,10,30,0,0
01360,DONALD HIGH SCHOOL,G,BULOKE,25,22,14,36,14,14,7,29,0,0
01253,DONCASTER SECONDARY COLLEGE,G,DONCASTER,233,188,132,58,5,18,8,9,2,0
01571,DONVALE CHRISTIAN COLLEGE,I,DONVALE - PARK ORCHARDS,108,97,71,72,3,11,6,6,3,0
01646,DROMANA SECONDARY COLLEGE,G,DROMANA,151,143,100,27,23,10,10,27,2,1
01202,DROUIN SECONDARY COLLEGE,G,DROUIN,111,82,61,30,7,11,21,26,5,0
01304,EAST DONCASTER SECONDARY COLLEGE,G,DONCASTER EAST,266,229,153,77,6,8,5,3,1,0
01409,EAST LODDON P-12 COLLEGE,G,LODDON,14,14,11,55,18,0,0,9,18,0
11843,EAST PRESTON ISLAMIC COLLEGE,I,PRESTON,24,22,11,36,18,45,0,0,0,0
01051,ECHUCA COLLEGE,G,ECHUCA,57,50,29,21,17,10,7,41,3,0
01355,EDINBURGH COLLEGE,I,LILYDALE - COLDSTREAM,20,19,13,69,15,0,0,15,0,0
01736,ELISABETH MURDOCH COLLEGE,G,LANGWARRIN,173,91,58,28,9,24,10,24,5,0
01468,ELTHAM COLLEGE,I,RESEARCH - NORTH WARRANDYTE,77,73,45,64,16,7,7,2,0,4
01208,ELTHAM HIGH SCHOOL,G,ELTHAM,153,146,117,41,11,11,15,19,3,0
01147,ELWOOD COLLEGE,G,ELWOOD,77,54,32,63,6,16,3,9,3,0
01732,EMERALD SECONDARY COLLEGE,G,EMERALD - COCKATOO,85,62,43,28,9,16,9,33,5,0
01344,EMMANUEL COLLEGE,C,ALTONA NORTH,283,247,157,60,4,15,11,7,2,1
01410,EMMAUS COLLEGE,C,VERMONT SOUTH,198,151,96,68,9,11,5,4,1,1
01098,EPPING SECONDARY COLLEGE,G,EPPING,142,140,94,38,5,23,6,16,9,2
01049,ESSENDON KEILOR COLLEGE,G,ESSENDON - ABERFELDIE,103,91,59,39,10,14,17,8,10,2
01004,FAIRHILLS HIGH SCHOOL,G,FERNTREE GULLY,94,48,30,47,17,20,3,10,3,0
01946,FCJ COLLEGE,C,BENALLA REGION,50,47,30,20,13,30,7,20,3,7
1213,FEDERATION UNIVERSITY AUSTRALIA,A,BALLARAT - SOUTH,52,33,17,0,12,12,0,41,35,0
01258,FIRBANK GRAMMAR SCHOOL,I,BRIGHTON (VIC.),118,109,60,73,15,8,3,0,0,0
01415,FITZROY HIGH SCHOOL,G,FITZROY NORTH,74,47,37,46,27,11,3,8,3,3
01680,FLINDERS CHRISTIAN COMMUNITY COLLEGE,I,SOMERVILLE,110,98,60,43,7,20,8,17,5,0
13488,FLINDERS CHRISTIAN COMMUNITY COLLEGE,I,CARRUM DOWNS,66,47,27,67,11,4,0,19,0,0
01648,FOOTSCRAY CITY COLLEGE,G,FOOTSCRAY,113,113,76,34,16,20,12,7,12,0
01398,FOREST HILL COLLEGE,G,BURWOOD EAST,92,91,59,47,3,20,7,14,7,2
01264,FOSTER SECONDARY COLLEGE,G,FOSTER,37,35,18,22,17,11,0,39,11,0
13440,FOUNTAIN GATE SECONDARY COLLEGE,G,NARRE WARREN,127,126,77,43,5,21,5,18,6,1
01061,FRANKSTON HIGH SCHOOL,G,FRANKSTON SOUTH,283,241,175,50,16,11,9,10,3,1
01276,GALEN CATHOLIC COLLEGE,C,WANGARATTA REGION,148,104,61,18,41,3,15,20,3,0
01166,GEELONG HIGH SCHOOL,G,GEELONG,103,76,59,42,8,17,8,17,7,0
14930,GEELONG LUTHERAN COLLEGE,I,GROVEDALE,38,26,18,44,11,33,0,6,6,0
01206,GENAZZANO FCJ COLLEGE,C,KEW,140,103,72,86,4,4,3,1,1,0
01309,GILMORE COLLEGE FOR GIRLS,G,FOOTSCRAY,33,18,14,64,0,21,7,0,7,0
