"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status","Prep Males Total","Prep Females Total","Prep Total","Year 1 Males Total","Year 1 Females Total","Year 1 Total","Year 2 Males Total","Year 2 Females Total","Year 2 Total","Year 3 Males Total","Year 3 Females Total","Year 3 Total","Year 4 Males Total","Year 4 Females Total","Year 4 Total","Year 5 Males Total","Year 5 Females Total","Year 5 Total","Year 6 Males Total","Year 6 Females Total","Year 6 Total","Primary Ungraded Males Total","Primary Ungraded Females Total","Primary Ungraded Total","Primary Total","Year 7 Males Total","Year 7 Females Total","Year 7 Total","Year 8 Males Total","Year 8 Females Total","Year 8 Total","Year 9 Males Total","Year 9 Females Total","Year 9 Total","Year 10 Males Total","Year 10 Females Total","Year 10 Total","Year 11 Males Total","Year 11 Females Total","Year 11 Total","Year 12 Males","Year 12 Females","Year 12 Total","Secondary Ungraded Males Total","Secondary Ungraded Females Total","Secondary Ungraded Total","Secondary Total","Grand Total"
"Government",1,4986,"Highvale Primary School","Primary","O",16.00,14.00,30.00,21.00,15.00,36.00,10.00,15.00,25.00,20.00,12.00,32.00,21.00,12.00,33.00,24.00,24.00,48.00,21.00,14.00,35.00,0.00,0.00,0.00,239.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239.00
"Government",1,4988,"Watsonia North Primary School","Primary","O",30.10,49.00,79.10,40.00,33.00,73.00,39.00,47.00,86.00,31.00,35.00,66.00,32.00,37.00,69.00,55.00,23.00,78.00,31.00,30.00,61.00,0.00,0.00,0.00,512.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,512.10
"Government",1,4989,"Wooranna Park Primary School","Primary","O",31.00,18.00,49.00,31.00,25.00,56.00,29.00,16.00,45.00,18.00,25.00,43.00,32.00,27.00,59.00,28.00,23.00,51.00,25.00,25.00,50.00,0.00,0.00,0.00,353.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,353.00
"Government",1,4990,"Knox Park Primary School","Primary","O",19.00,16.00,35.00,29.00,24.00,53.00,19.00,17.00,36.00,17.00,18.00,35.00,16.00,11.00,27.00,24.00,14.00,38.00,16.00,13.00,29.00,0.00,0.00,0.00,253.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,253.00
"Government",1,4991,"Birralee Primary School","Primary","O",15.00,13.00,28.00,13.00,10.00,23.00,10.00,13.00,23.00,11.80,10.00,21.80,7.00,16.00,23.00,15.00,7.00,22.00,17.00,7.00,24.00,0.00,0.00,0.00,164.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,164.80
"Government",1,4994,"Echuca South Primary School","Primary","O",17.00,9.00,26.00,9.00,13.00,22.00,16.00,15.00,31.00,18.00,19.00,37.00,21.00,12.00,33.00,18.00,16.00,34.00,16.00,22.00,38.00,0.00,0.00,0.00,221.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221.00
"Government",1,4995,"Ararat North Primary School","Primary","O",6.00,6.00,12.00,2.00,7.00,9.00,5.00,1.00,6.00,6.00,3.00,9.00,4.00,2.00,6.00,9.00,7.00,16.00,6.00,3.00,9.00,0.00,0.00,0.00,67.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.00
"Government",1,4996,"Derinya Primary School","Primary","O",55.00,54.00,109.00,41.00,40.00,81.00,53.00,45.00,98.00,57.00,45.00,102.00,51.00,44.00,95.00,48.00,50.00,98.00,44.00,37.00,81.00,0.00,0.00,0.00,664.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,664.00
"Government",1,4999,"Thomastown West Primary School","Primary","O",24.00,26.00,50.00,23.00,31.00,54.00,24.00,21.00,45.00,16.00,24.00,40.00,27.00,25.00,52.00,16.00,26.00,42.00,32.00,35.00,67.00,0.00,0.00,0.00,350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00
"Government",1,5000,"Rowville Primary School","Primary","O",23.00,37.00,60.00,28.00,36.00,64.00,23.00,41.00,64.00,23.00,27.00,50.00,41.00,34.00,75.00,38.40,38.00,76.40,30.00,34.00,64.00,0.00,0.00,0.00,453.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,453.40
